UnitID,Control,State
104577,1,AZ
375966,1,PA
106892,3,AR
364751,3,LA
129215,1,CT
132693,1,FL
203331,1,OH
144892,1,IL
448354,3,NJ
421878,3,NJ
153311,1,IA
156620,1,KY
161138,1,ME
232043,2,VA
169798,1,MI
165644,2,MA
383996,1,NM
187648,1,NM
187666,1,NM
418348,1,OK
207050,1,OK
208646,1,OR
446224,3,NJ
232052,1,VA
486877,1,NY
486886,1,NY
418065,1,NY
212133,2,PA
441858,3,VA
231970,1,VA
235097,1,WA
438708,1,WV
240596,1,WY
407461,1,OH
183488,3,NJ
185721,3,NJ
184959,3,NJ
446233,2,AR
133492,2,FL
248934,3,VA
247162,2,MI
177278,2,MO
198491,1,NC
238661,2,WI
212160,1,PA
202648,1,OH
235103,1,WA
457794,2,NY
146454,3,IL
260965,3,IL
149204,3,IL
490461,3,TN
442806,2,VA
133526,2,FL
202657,1,OH
410964,3,MA
113980,1,CA
224642,1,TX
476887,3,GA
483382,3,NY
494001,3,NC
451282,3,MI
479983,3,CO
144944,1,IL
488305,2,NY
492005,3,OH
451529,3,TN
461607,3,CA
490294,3,WA
461999,3,OH
495776,3,TX
452887,3,OH
496371,3,OH
198507,1,NC
362782,3,MA
212197,2,PA
156648,1,KY
153296,1,IA
486080,2,NY
144962,2,IL
190974,3,NY
190983,2,NY
198516,2,NC
490346,2,NY
133553,2,FL
104586,2,AZ
426314,2,FL
457378,1,FL
165662,2,MA
127158,1,CO
139630,2,GA
165671,2,MA
153302,2,IA
232025,2,VA
139658,2,GA
487092,2,GA
114114,3,CA
